,ReportDateTime,Country,Indicator,FullName,Period,Value
170,1999-04-01 04:00:00,Denmark,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,2.3
171,1999-04-01 04:00:00,Portugal,CPI (YoY),Portuguese CPI (YoY) (Mar),1999-03-01 00:00:00,2.9
173,1999-04-01 04:00:00,Thailand,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,1.48
174,1999-04-01 04:00:00,Malaysia,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,3.0
175,1999-04-01 04:00:00,Philippines,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,7.9
176,1999-04-01 04:00:00,Greece,CPI (YoY),Greek CPI (YoY) (Mar),1999-03-01 00:00:00,3.4
177,1999-04-01 04:00:00,Czechia,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,2.6
178,1999-04-01 04:00:00,Egypt,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,3.82
180,1999-04-01 04:00:00,Hungary,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,9.3
181,1999-04-01 04:00:00,Colombia,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,13.51
182,1999-04-15 10:00:00,Israel,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,7.0
183,1999-05-01 04:00:00,United Kingdom,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,1.5
185,1999-05-01 04:00:00,United States,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,2.3
187,1999-05-01 04:00:00,Canada,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,1.6
188,1999-05-01 04:00:00,Mexico,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,18.23
189,1999-05-01 04:00:00,Sweden,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,0.1
190,1999-05-01 04:00:00,Italy,CPI (YoY),Italian CPI (YoY) (Apr),1999-04-01 00:00:00,1.4
191,1999-05-01 04:00:00,Korea,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,0.4
192,1999-05-01 04:00:00,Switzerland,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,0.6
193,1999-05-01 04:00:00,Germany,CPI (YoY),German CPI (YoY) (Apr),1999-04-01 00:00:00,0.6
194,1999-05-01 04:00:00,Netherlands,CPI (YoY),Dutch CPI (YoY) (Apr),1999-04-01 00:00:00,2.1
195,1999-05-01 04:00:00,Spain,CPI (YoY),Spanish CPI (YoY) (Apr),1999-04-01 00:00:00,2.4
196,1999-05-01 04:00:00,Brazil,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,3.35
198,1999-05-01 04:00:00,Ireland,CPI (YoY),Irish CPI (YoY) (Apr),1999-04-01 00:00:00,1.27
199,1999-05-01 04:00:00,Belgium,CPI (YoY),Belgium CPI (YoY) (Apr),1999-04-01 00:00:00,1.18
201,1999-05-01 04:00:00,Japan,CPI (YoY),National CPI (YoY) (Apr),1999-04-01 00:00:00,-0.1
204,1999-05-01 04:00:00,Singapore,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,-0.32
205,1999-05-01 04:00:00,China,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,-2.2
206,1999-05-01 04:00:00,Hong Kong,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,-3.8
207,1999-05-01 04:00:00,Taiwan,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,-0.1
209,1999-05-01 04:00:00,Poland,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,6.3
210,1999-05-01 04:00:00,Russia,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,112.9
211,1999-05-01 04:00:00,Norway,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,2.5
212,1999-05-01 04:00:00,Turkiye,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,63.9
214,1999-05-01 04:00:00,Eurozone,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,1.1
215,1999-05-01 04:00:00,South Africa,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,7.57
216,1999-05-01 04:00:00,Denmark,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,2.3
217,1999-05-01 04:00:00,Portugal,CPI (YoY),Portuguese CPI (YoY) (Apr),1999-04-01 00:00:00,2.9
219,1999-05-01 04:00:00,Thailand,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,0.49
220,1999-05-01 04:00:00,Malaysia,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,2.9
221,1999-05-01 04:00:00,Philippines,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,7.4
222,1999-05-01 04:00:00,Greece,CPI (YoY),Greek CPI (YoY) (Apr),1999-04-01 00:00:00,2.8
223,1999-05-01 04:00:00,Czechia,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,2.4
224,1999-05-01 04:00:00,Egypt,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,3.26
226,1999-05-01 04:00:00,Hungary,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,9.4
227,1999-05-01 04:00:00,Colombia,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,11.17
228,1999-05-15 10:00:00,Israel,CPI (YoY),CPI (YoY) (Apr),1999-04-01 00:00:00,5.9
229,1999-06-01 04:00:00,United Kingdom,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,1.3
231,1999-06-01 04:00:00,United States,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,2.1
233,1999-06-01 04:00:00,Canada,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,1.5
234,1999-06-01 04:00:00,Mexico,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,18.01
235,1999-06-01 04:00:00,Sweden,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,0.1
236,1999-06-01 04:00:00,Italy,CPI (YoY),Italian CPI (YoY) (May),1999-05-01 00:00:00,1.4
237,1999-06-01 04:00:00,Korea,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,0.8
238,1999-06-01 04:00:00,Switzerland,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,0.6
239,1999-06-01 04:00:00,Germany,CPI (YoY),German CPI (YoY) (May),1999-05-01 00:00:00,0.5
240,1999-06-01 04:00:00,Netherlands,CPI (YoY),Dutch CPI (YoY) (May),1999-05-01 00:00:00,2.3
241,1999-06-01 04:00:00,Spain,CPI (YoY),Spanish CPI (YoY) (May),1999-05-01 00:00:00,2.2
242,1999-06-01 04:00:00,Brazil,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,3.14
244,1999-06-01 04:00:00,Ireland,CPI (YoY),Irish CPI (YoY) (May),1999-05-01 00:00:00,1.41
245,1999-06-01 04:00:00,Belgium,CPI (YoY),Belgium CPI (YoY) (May),1999-05-01 00:00:00,0.83
247,1999-06-01 04:00:00,Japan,CPI (YoY),National CPI (YoY) (May),1999-05-01 00:00:00,-0.4
250,1999-06-01 04:00:00,Singapore,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,0.15
251,1999-06-01 04:00:00,China,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,-2.2
252,1999-06-01 04:00:00,Hong Kong,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,-4.0
253,1999-06-01 04:00:00,Taiwan,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,0.49
255,1999-06-01 04:00:00,Poland,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,6.4
256,1999-06-01 04:00:00,Russia,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,116.6
257,1999-06-01 04:00:00,Norway,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,2.5
258,1999-06-01 04:00:00,Turkiye,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,63.0
260,1999-06-01 04:00:00,Eurozone,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,1.0
261,1999-06-01 04:00:00,South Africa,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,7.08
262,1999-06-01 04:00:00,Denmark,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,2.0
263,1999-06-01 04:00:00,Portugal,CPI (YoY),Portuguese CPI (YoY) (May),1999-05-01 00:00:00,2.3
265,1999-06-01 04:00:00,Thailand,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,-0.61
266,1999-06-01 04:00:00,Malaysia,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,2.9
267,1999-06-01 04:00:00,Philippines,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,6.3
268,1999-06-01 04:00:00,Greece,CPI (YoY),Greek CPI (YoY) (May),1999-05-01 00:00:00,2.4
269,1999-06-01 04:00:00,Czechia,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,2.4
270,1999-06-01 04:00:00,Egypt,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,2.8
272,1999-06-01 04:00:00,Hungary,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,8.9
273,1999-06-01 04:00:00,Colombia,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,9.98
274,1999-06-15 10:00:00,Israel,CPI (YoY),CPI (YoY) (May),1999-05-01 00:00:00,6.0
275,1999-07-01 04:00:00,United Kingdom,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,1.3
277,1999-07-01 04:00:00,United States,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,2.0
279,1999-07-01 04:00:00,Canada,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,1.6
280,1999-07-01 04:00:00,Mexico,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,17.39
281,1999-07-01 04:00:00,Sweden,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,0.4
282,1999-07-01 04:00:00,Italy,CPI (YoY),Italian CPI (YoY) (Jun),1999-06-01 00:00:00,1.3
283,1999-07-01 04:00:00,Korea,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,0.6
284,1999-07-01 04:00:00,Switzerland,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,0.6
285,1999-07-01 04:00:00,Germany,CPI (YoY),German CPI (YoY) (Jun),1999-06-01 00:00:00,0.5
286,1999-07-01 04:00:00,Netherlands,CPI (YoY),Dutch CPI (YoY) (Jun),1999-06-01 00:00:00,2.3
287,1999-07-01 04:00:00,Spain,CPI (YoY),Spanish CPI (YoY) (Jun),1999-06-01 00:00:00,2.2
288,1999-07-01 04:00:00,Brazil,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,3.32
290,1999-07-01 04:00:00,Ireland,CPI (YoY),Irish CPI (YoY) (Jun),1999-06-01 00:00:00,1.26
291,1999-07-01 04:00:00,Belgium,CPI (YoY),Belgium CPI (YoY) (Jun),1999-06-01 00:00:00,0.74
293,1999-07-01 04:00:00,Japan,CPI (YoY),National CPI (YoY) (Jun),1999-06-01 00:00:00,-0.3
296,1999-07-01 04:00:00,Singapore,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,0.13
297,1999-07-01 04:00:00,China,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,-2.1
298,1999-07-01 04:00:00,Hong Kong,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,-4.1
299,1999-07-01 04:00:00,Taiwan,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,-0.84
301,1999-07-01 04:00:00,Poland,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,6.5
302,1999-07-01 04:00:00,Russia,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,120.6
303,1999-07-01 04:00:00,Norway,CPI (YoY),CPI (YoY) (Jun),1999-06-01 00:00:00,2.3
