,ReportDateTime,Country,Indicator,FullName,Period,Value
157,2000-01-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,1.5
158,2000-01-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Dec),1999-12-01 00:00:00,1.1
159,2000-01-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,-0.4
160,2000-01-01 04:00:00,China,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,-0.8
161,2000-01-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,8.1
162,2000-01-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,62.91
163,2000-01-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,2.5
164,2000-01-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,3.3
165,2000-01-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Dec),1999-12-01 00:00:00,3.36
166,2000-02-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,4.1
167,2000-02-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Jan),2000-01-01 00:00:00,4.6
169,2000-02-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,2.99
170,2000-02-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,3.1
171,2000-02-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,1.8
172,2000-02-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Jan),2000-01-01 00:00:00,2.0
173,2000-02-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,0.4
174,2000-02-01 04:00:00,China,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,0.0
175,2000-02-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,8.2
176,2000-02-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,66.38
177,2000-02-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Jan),2000-01-01 00:00:00,3.5
179,2000-03-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Feb),2000-02-01 00:00:00,4.38
180,2000-03-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Feb),2000-02-01 00:00:00,5.9
181,2000-03-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Feb),2000-02-01 00:00:00,3.0
182,2000-03-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Feb),2000-02-01 00:00:00,2.7
183,2000-03-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Feb),2000-02-01 00:00:00,2.1
184,2000-03-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Feb),2000-02-01 00:00:00,0.5
185,2000-03-01 04:00:00,China,PPI (YoY),PPI (YoY) (Feb),2000-02-01 00:00:00,1.0
186,2000-03-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Feb),2000-02-01 00:00:00,8.1
187,2000-03-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Feb),2000-02-01 00:00:00,67.51
188,2000-03-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Feb),2000-02-01 00:00:00,3.9
189,2000-03-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Feb),2000-02-01 00:00:00,6.87
190,2000-04-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,4.9
191,2000-04-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Mar),2000-03-01 00:00:00,7.47
193,2000-04-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,3.92
194,2000-04-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Mar),2000-03-01 00:00:00,6.6
195,2000-04-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,3.2
196,2000-04-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,2.9
197,2000-04-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Mar),2000-03-01 00:00:00,2.3
198,2000-04-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,0.5
199,2000-04-01 04:00:00,China,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,1.9
200,2000-04-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,7.3
201,2000-04-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,66.07
202,2000-04-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Mar),2000-03-01 00:00:00,4.2
204,2000-05-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,3.7
205,2000-05-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Apr),2000-04-01 00:00:00,6.3
206,2000-05-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,2.4
207,2000-05-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,2.8
208,2000-05-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Apr),2000-04-01 00:00:00,2.1
209,2000-05-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,0.6
210,2000-05-01 04:00:00,China,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,2.6
211,2000-05-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,7.4
212,2000-05-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,61.51
213,2000-05-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,4.0
214,2000-05-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Apr),2000-04-01 00:00:00,4.1
215,2000-05-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Apr),2000-04-01 00:00:00,7.11
216,2000-06-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,4.3
217,2000-06-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (May),2000-05-01 00:00:00,6.8
219,2000-06-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,3.92
220,2000-06-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (May),2000-05-01 00:00:00,7.0
221,2000-06-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,1.7
222,2000-06-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,3.0
223,2000-06-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (May),2000-05-01 00:00:00,2.5
224,2000-06-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,0.3
225,2000-06-01 04:00:00,China,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,2.5
226,2000-06-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,7.9
227,2000-06-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,59.16
228,2000-06-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (May),2000-05-01 00:00:00,4.6
230,2000-07-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,4.02
231,2000-07-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Jun),2000-06-01 00:00:00,7.4
232,2000-07-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,2.6
233,2000-07-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,2.9
234,2000-07-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Jun),2000-06-01 00:00:00,2.7
235,2000-07-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,0.4
236,2000-07-01 04:00:00,China,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,3.0
237,2000-07-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,8.9
238,2000-07-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,56.79
239,2000-07-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,4.8
240,2000-07-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Jun),2000-06-01 00:00:00,4.9
241,2000-07-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Jun),2000-06-01 00:00:00,7.32
242,2000-08-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,4.9
243,2000-08-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Jul),2000-07-01 00:00:00,6.64
245,2000-08-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,3.79
246,2000-08-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Jul),2000-07-01 00:00:00,7.0
247,2000-08-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,2.9
248,2000-08-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,2.7
249,2000-08-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Jul),2000-07-01 00:00:00,3.1
250,2000-08-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,0.1
251,2000-08-01 04:00:00,China,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,4.5
252,2000-08-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,9.0
253,2000-08-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,52.35
254,2000-08-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Jul),2000-07-01 00:00:00,4.8
