,ReportDateTime,Country,Indicator,FullName,Period,Value
3920,2018-05-01 01:30:00,Sweden,Manufacturing PMI,Manufacturing PMI (Apr),2018-04-01,55.9
3921,2018-05-01 03:30:00,United Kingdom,Manufacturing PMI,S&P Global/CIPS UK Manufacturing PMI (Apr),2018-04-01,53.9
3922,2018-05-01 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Apr),2018-04-01,56.5
3924,2018-05-01 19:30:00,Korea,Manufacturing PMI,S&P Global South Korea Manufacturing PMI (Apr),2018-04-01,48.4
3925,2018-05-01 19:30:00,Taiwan,Manufacturing PMI,S&P Global Taiwan Manufacturing PMI (Apr),2018-04-01,54.8
3926,2018-05-01 19:30:00,Indonesia,Manufacturing PMI,Nikkei Manufacturing PMI (Apr),2018-04-01,51.6
3928,2018-05-02 00:00:00,India,Manufacturing PMI,S&P Global India Manufacturing PMI (Apr),2018-04-01,51.6
3929,2018-05-02 01:30:00,Sweden,Manufacturing PMI,Manufacturing PMI (Apr),2018-04-01,54.5
3930,2018-05-02 01:30:00,Sweden,Manufacturing PMI,Manufacturing PMI (Apr),2018-04-01,54.5
3931,2018-05-02 01:45:00,Hungary,Manufacturing PMI,Manufacturing PMI (Apr),2018-04-01,53.3
3932,2018-05-02 02:00:00,Poland,Manufacturing PMI,S&P Global Poland Manufacturing PMI (Apr),2018-04-01,53.9
3933,2018-05-02 02:00:00,Norway,Manufacturing PMI,Manufacturing PMI (Apr),2018-04-01,56.2
3934,2018-05-02 02:00:00,Poland,Manufacturing PMI,S&P Global Poland Manufacturing PMI (Apr),2018-04-01,53.9
3935,2018-05-02 02:00:00,Norway,Manufacturing PMI,Manufacturing PMI (Apr),2018-04-01,56.2
3936,2018-05-02 02:00:00,Turkiye,Manufacturing PMI,Istanbul Chamber of Industry Turkey Manufacturing PMI (Apr),2018-04-01,48.9
3937,2018-05-02 02:15:00,Spain,Manufacturing PMI,HCOB Spain Manufacturing PMI (Apr),2018-04-01,54.4
3938,2018-05-02 02:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (Apr),2018-04-01,63.6
3939,2018-05-02 02:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (Apr),2018-04-01,63.6
3940,2018-05-02 02:45:00,Italy,Manufacturing PMI,HCOB Italy Manufacturing PMI (Apr),2018-04-01,53.5
3941,2018-05-02 02:50:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Apr),2018-04-01,53.8
3942,2018-05-02 02:55:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Apr),2018-04-01,58.1
3943,2018-05-02 03:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Apr),2018-04-01,56.2
3944,2018-05-02 03:00:00,Greece,Manufacturing PMI,S&P Global Greece Manufacturing PMI (Apr),2018-04-01,52.9
3945,2018-05-02 04:00:00,South Africa,Manufacturing PMI,Manufacturing PMI,2018-04-01,50.9
3946,2018-05-02 08:00:00,Brazil,Manufacturing PMI,S&P Global Manufacturing PMI (Apr),2018-04-01,52.3
3947,2018-05-02 09:30:00,Mexico,Manufacturing PMI,S&P Global Mexico Manufacturing PMI (Apr),2018-04-01,51.6
3948,2018-05-03 01:00:00,Russia,Manufacturing PMI,Russian S&P Global Manufacturing PMI (Apr),2018-04-01,51.3
3950,2018-05-03 19:30:00,Hong Kong,Manufacturing PMI,S&P Global Hong Kong Manufacturing PMI (Apr),2018-04-01,49.1
3951,2018-05-22 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (May),2018-05-01,52.5
3952,2018-05-23 02:00:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (May),2018-05-01,55.1
3953,2018-05-23 02:30:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (May),2018-05-01,56.8
3954,2018-05-23 03:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (May),2018-05-01,55.5
3955,2018-05-23 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (May),2018-05-01,56.6
3956,2018-05-28 03:00:00,Austria,Manufacturing PMI,Unicredit Bank Austria Manufacturing PMI (May),2018-05-01,57.3
3957,2018-05-30 20:00:00,China,Manufacturing PMI,Manufacturing PMI (May),2018-05-01,51.9
3959,2018-05-31 19:30:00,Korea,Manufacturing PMI,S&P Global South Korea Manufacturing PMI (May),2018-05-01,48.9
3960,2018-05-31 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (May),2018-05-01,52.8
3961,2018-05-31 19:30:00,Taiwan,Manufacturing PMI,S&P Global Taiwan Manufacturing PMI (May),2018-05-01,53.4
3963,2018-06-01 00:00:00,India,Manufacturing PMI,S&P Global India Manufacturing PMI (May),2018-05-01,51.2
3964,2018-06-01 00:00:00,Ireland,Manufacturing PMI,AIB Ireland Manufacturing PMI (May),2018-05-01,55.4
3965,2018-06-01 01:00:00,Russia,Manufacturing PMI,Russian S&P Global Manufacturing PMI (May),2018-05-01,49.8
