,ReportDateTime,Country,Indicator,FullName,Period,Value
6202,2020-06-16 07:30:00,United States,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-6.1
6204,2020-06-19 01:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-13.1
6205,2020-06-19 11:00:00,Russia,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-19.2
6206,2020-06-22 03:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-8.6
6207,2020-06-24 06:00:00,South Africa,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,2.7
6208,2020-06-24 14:00:00,Argentina,Retail Sales (YoY),Retail Sales (YoY),2020-05-01 00:00:00,-97.6
6209,2020-06-25 01:00:00,Denmark,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,5.3
6210,2020-06-25 06:00:00,Mexico,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-23.8
6211,2020-06-26 02:00:00,Spain,Retail Sales (YoY),Spanish Retail Sales (YoY) (May),2020-05-01 00:00:00,-19.0
6212,2020-06-26 02:30:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,2.4
6213,2020-06-28 18:50:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-12.3
6214,2020-06-29 05:00:00,Ireland,Retail Sales (YoY),Irish Retail Sales (YoY) (May),2020-05-01 00:00:00,-26.6
6215,2020-06-29 23:30:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (May),2020-05-01 00:00:00,6.5
6216,2020-06-30 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,6.6
6217,2020-06-30 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,6.6
6218,2020-06-30 03:30:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-32.8
6219,2020-06-30 04:00:00,Greece,Retail Sales (YoY),Greek Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-24.8
6220,2020-06-30 08:00:00,Chile,Retail Sales (YoY),Retail Sales (YoY),2020-06-01 00:00:00,-28.7
6221,2020-07-01 01:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (May),2020-05-01 00:00:00,3.8
6222,2020-07-03 00:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-52.1
6223,2020-07-06 02:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-2.1
6224,2020-07-06 04:00:00,Eurozone,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-5.1
6225,2020-07-07 03:00:00,Italy,Retail Sales (YoY),Italian Retail Sales (YoY) (May),2020-05-01 00:00:00,-10.5
6226,2020-07-07 22:01:00,Indonesia,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-20.6
6227,2020-07-08 02:00:00,Czechia,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-0.7
6228,2020-07-08 07:00:00,Brazil,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-7.2
6229,2020-07-09 17:45:00,New Zealand,Retail Sales (YoY),Electronic Card Retail Sales (YoY) (Jun),2020-06-01 00:00:00,8.0
6230,2020-07-13 02:00:00,Turkiye,Retail Sales (YoY),Turkish Retail Sales (YoY),2020-06-01 00:00:00,-16.7
6231,2020-07-15 10:00:00,Colombia,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-26.8
6232,2020-07-15 21:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-1.8
6233,2020-07-16 07:30:00,United States,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,1.1
6234,2020-07-17 11:00:00,Russia,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-7.7
6235,2020-07-21 03:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-1.9
6236,2020-07-22 04:00:00,Mexico,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-23.7
6237,2020-07-22 06:00:00,South Africa,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-12.0
6238,2020-07-23 14:00:00,Argentina,Retail Sales (YoY),Retail Sales (YoY),2020-06-01 00:00:00,-93.1
6240,2020-07-24 01:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-1.6
6241,2020-07-27 01:00:00,Denmark,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,6.6
