,ReportDateTime,Country,Indicator,FullName,Period,Value
230,1999-07-01 04:00:00,Saudi Arabia,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,-0.2
231,1999-07-01 04:00:00,Poland,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.2
232,1999-07-01 04:00:00,Russia,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,2.0
233,1999-07-01 04:00:00,Norway,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.1
235,1999-07-01 04:00:00,Eurozone,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.0
237,1999-07-01 04:00:00,Chile,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.14
238,1999-07-01 04:00:00,Portugal,CPI (MoM),Portuguese CPI (MoM) (Jun),1999-06-01 00:00:00,0.2
239,1999-07-01 04:00:00,Philippines,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.7
240,1999-07-01 04:00:00,Czechia,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.1
241,1999-07-01 04:00:00,Colombia,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.28
242,1999-07-01 04:00:00,Peru,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.18
244,1999-08-01 04:00:00,Chile,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.07
245,1999-08-01 04:00:00,Portugal,CPI (MoM),Portuguese CPI (MoM) (Jul),1999-07-01 00:00:00,0.0
246,1999-08-01 04:00:00,Philippines,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.14
247,1999-08-01 04:00:00,Czechia,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.8
248,1999-08-01 04:00:00,Colombia,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.31
249,1999-08-01 04:00:00,Peru,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.26
250,1999-08-01 04:00:00,United Kingdom,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,-0.6
253,1999-08-01 04:00:00,United States,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.4
255,1999-08-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.2
257,1999-08-01 04:00:00,Mexico,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.66
258,1999-08-01 04:00:00,Sweden,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,-0.4
259,1999-08-01 04:00:00,Italy,CPI (MoM),Italian CPI (MoM) (Jul),1999-07-01 00:00:00,0.4
260,1999-08-01 04:00:00,Korea,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,-0.3
261,1999-08-01 04:00:00,Switzerland,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.0
262,1999-08-01 04:00:00,Germany,CPI (MoM),German CPI (MoM) (Jul),1999-07-01 00:00:00,0.5
263,1999-08-01 04:00:00,France,CPI (MoM),French CPI (MoM) (Jul),1999-07-01 00:00:00,-0.3
264,1999-08-01 04:00:00,Israel,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.3
265,1999-08-01 04:00:00,Spain,CPI (MoM),Spanish CPI (MoM) (Jul),1999-07-01 00:00:00,0.4
266,1999-08-01 04:00:00,Brazil,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,1.09
268,1999-08-01 04:00:00,Ireland,CPI (MoM),Irish CPI (MoM) (Jul),1999-07-01 00:00:00,-0.42
269,1999-08-01 04:00:00,Belgium,CPI (MoM),Belgium CPI (MoM) (Jul),1999-07-01 00:00:00,0.16
270,1999-08-01 04:00:00,China,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,-0.9
271,1999-08-01 04:00:00,Taiwan,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,-0.26
272,1999-08-01 04:00:00,Saudi Arabia,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.0
273,1999-08-01 04:00:00,Poland,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,-0.3
274,1999-08-01 04:00:00,Russia,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,2.8
275,1999-08-01 04:00:00,Norway,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,-0.3
277,1999-08-01 04:00:00,Eurozone,CPI (MoM),CPI (MoM) (Jul),1999-07-01 00:00:00,0.2
278,1999-09-01 04:00:00,United Kingdom,CPI (MoM),CPI (MoM) (Aug),1999-08-01 00:00:00,0.3
281,1999-09-01 04:00:00,United States,CPI (MoM),CPI (MoM) (Aug),1999-08-01 00:00:00,0.2
283,1999-09-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (Aug),1999-08-01 00:00:00,0.2
285,1999-09-01 04:00:00,Mexico,CPI (MoM),CPI (MoM) (Aug),1999-08-01 00:00:00,0.56
286,1999-09-01 04:00:00,Sweden,CPI (MoM),CPI (MoM) (Aug),1999-08-01 00:00:00,0.0
287,1999-09-01 04:00:00,Italy,CPI (MoM),Italian CPI (MoM) (Aug),1999-08-01 00:00:00,0.0
288,1999-09-01 04:00:00,Korea,CPI (MoM),CPI (MoM) (Aug),1999-08-01 00:00:00,1.0
289,1999-09-01 04:00:00,Switzerland,CPI (MoM),CPI (MoM) (Aug),1999-08-01 00:00:00,0.5
290,1999-09-01 04:00:00,Germany,CPI (MoM),German CPI (MoM) (Aug),1999-08-01 00:00:00,-0.1
291,1999-09-01 04:00:00,France,CPI (MoM),French CPI (MoM) (Aug),1999-08-01 00:00:00,0.2
292,1999-09-01 04:00:00,Israel,CPI (MoM),CPI (MoM) (Aug),1999-08-01 00:00:00,0.5
293,1999-09-01 04:00:00,Spain,CPI (MoM),Spanish CPI (MoM) (Aug),1999-08-01 00:00:00,0.4
