,United States,Japan,United Kingdom,Canada,Switzerland,Germany,Australia,Spain,Italy,Eurozone,China,India,Korea,Brazil,Turkiye,Russia,ACWI
2000-07-27,,,,,,,,,163.19,,,,,,,,
2000-07-28,,,,,,,,,161.04,,,,,,,,
2000-07-31,,,,,,,,,159.52,,,,,,,,
2000-08-01,,,,,,,,,161.2,,,,,,,,
2000-08-02,,,,,,,,,160.73,,,,,,,,
2000-08-03,,,,,,,,,160.61,,,,,,,,
2000-08-04,,,,,,,,,158.42,,,,,,,,
2000-08-07,,,,,,,,,159.02,,,,,,,,
2000-08-08,,,,,,,,,162.59,,,,,,,,
2000-08-09,,,,,,,,,163.39,,,,,,,,
2000-08-10,,,,,,,,,164.67,,,,,,,,
2000-08-11,,,,,,,,,165.26,,,,,,,,
2000-08-14,,,,,,,,,165.26,,,,,,,,
2000-08-15,,,,,,,,,164.61,,,,,,,,
2000-08-16,,,,,,,,,165.34,,,,,,,,
2000-08-17,,,,,,,,,165.96,,,,,,,,
2000-08-18,,,,,,,,,164.68,,,,,,,,
2000-08-21,,,,,,,,,163.98,,,,,,,,
2000-08-22,,,,,,,,,164.17,,,,,,,,
2000-08-23,,,,,,,,,163.58,,,,,,,,
2000-08-24,,,,,,,,,164.06,,,,,,,,
2000-08-25,,,,,,,,,162.92,,,,,,,,
2000-08-28,,,,,,,,,163.97,,,,,,,,
2000-08-29,,,,,,,,,164.27,,,,,,,,
2000-08-30,,,,,,,,,163.74,,,,,,,,
2000-08-31,,,,,,,,,163.76,,,,,,,,
2000-09-01,,,,,,,,,165.89,,,,,,,,
2000-09-04,,,,,,,,,166.98,,,,,,,,
2000-09-05,,,,,,,,,168.02,,,,,,,,
2000-09-06,,,,,,,,,167.36,,,,,,,,
2000-09-07,,,,,,,,,167.55,,,,,,,,
2000-09-08,,,,,,,,,168.47,,,,,,,,
2000-09-11,,,,,,,,,166.37,,,,,,,,
2000-09-12,,,,,,,,,166.85,,,,,,,,
2000-09-13,,,,,,,,,166.7,,,,,,,,
2000-09-14,,,,,,,,,164.92,,,,,,,,
2000-09-15,,,,,,,,,165.77,,,,,,,,
2000-09-18,,,,,,,,,163.96,,,,,,,,
2000-09-19,,,,,,,,,162.21,,,,,,,,
2000-09-20,,,,,,,,,161.8,,,,,,,,
2000-09-21,,,,,,,,,158.53,,,,,,,,
2000-09-22,,,,,,,,,156.35,,,,,,,,
2000-09-25,,,,,,,,,157.95,,,,,,,,
2000-09-26,,,,,,,,,158.92,,,,,,,,
2000-09-27,,,,,,,,,158.04,,,,,,,,
2000-09-28,,,,,,,,,158.56,,,,,,,,
2000-09-29,,,,,,,,,158.01,,,,,,,,
2000-10-02,,,,,,,,,157.16,,,,,,,,
2000-10-03,,,,,,,,,159.36,,,,,,,,
2000-10-04,,,,,,,,,159.63,,,,,,,,
