Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Kuwait,KWT,16.6308603334896,38.8987320985626,23.8570093457944,11.1829163071613,19.6850117752607,26.0905307506551,37.2166556465422,44.6169768743956,36.0539707678802,40.8736187461825,27.3403810674317,32.0484148643801,42.9295722998462,45.4598416762476,39.8999487247965,33.179128804554,7.491555550117,0.586535550613766,6.4274761124371,17.4013844214159,22.2149018617107,20.7927954208364,25.5438519493553,34.1776056769948
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Malaysia,MYS,15.9240800095756,9.04991849068886,7.85355934414698,7.12945542035369,12.1423505560344,12.0877738119346,13.9199688653484,16.1037220396447,15.3811225715045,16.8597983887068,15.7230101279618,10.0556775847083,10.9050020054075,5.1887797258199,3.46614304164461,4.39159132129391,3.00892332652168,2.36769142849236,2.80787083131516,2.23708214546085,3.50388647327514,4.19101715214669,3.88583242407989,3.02019799822726
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Netherlands,NLD,3.50782246578161,1.73836824467618,2.27392637964921,2.3281860989863,5.15317712942085,6.73082200775295,6.06556937545051,7.79269553472333,5.89865319930189,4.09327586137291,5.74432577066824,7.29345564010495,8.98884087375838,10.6701120484139,9.74685158749163,8.51330467344981,5.24602321657997,7.07766494929035,8.91172270410105,9.31488167687975,6.92137956161479,5.14937472372131,12.3467137242931,9.41031306933981
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,New Zealand,NZL,..,-3.30286925858411,-0.776439699002389,-2.09521936295547,-2.40599179153862,-4.50789193798136,-6.99536794869388,-7.06517341361543,-6.79701754359097,-7.7094815471555,-2.48010779620906,-2.34059485272367,-2.8657694547516,-3.9086508377036,-3.05746407056878,-3.0916687402964,-2.61855964424793,-2.12677206948975,-2.80921255147797,-4.04744721289636,-2.78985268607528,-1.12933043224063,-5.79295207625648,-8.6000018819461
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Norway,NOR,5.45534858090503,14.626950219355,15.8090502295221,12.3875111770674,12.074775031532,12.4402776479593,16.1196583458525,16.1173014650908,12.3514012598925,15.6834391144207,11.642265282343,11.6594077914656,13.254644393537,12.4021400249812,10.1612768619559,10.954886718139,8.01360708862411,3.98049523650325,5.38896566318335,7.94959431636821,2.91600859889184,1.14557292891118,13.5130690073713,30.2747290767844
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Peru,PER,-2.74952502384786,-2.9874113727773,-2.31175794610238,-2.02693936398421,-1.61504289543387,0.0288861085400799,1.50881026119421,3.24050716695869,1.42931463476859,-4.41112077807089,-0.598288729210879,-2.41611244249563,-1.96422212136988,-2.78917013523445,-4.77392877326635,-4.27562642475605,-4.6237089025564,-2.19552920869071,-0.821197762307768,-1.1893149591628,-0.561495704912979,1.10676675269066,-2.26349268905227,-4.08363948813507
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Portugal,PRT,-8.85368265057396,-10.8233299998961,-10.4344116184086,-8.31755894208286,-6.66692325748196,-7.98339399989491,-9.60021052870914,-10.2302140524554,-9.65792414363096,-11.855978755641,-10.2674816262429,-10.2499840848428,-6.00499083126169,-1.64723823767356,1.64325342723509,0.148261272470483,0.236036291433241,1.16898510929698,1.37213389455161,0.545501327249672,0.422018696880318,-1.00071904517426,-1.17602728147633,..
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Poland,POL,-7.34397013599592,-6.00567464124102,-3.11463011868753,-2.78494396796903,-2.51252519913782,-5.99630095832025,-3.3141059735697,-4.66620933546281,-6.69478099515961,-6.77192839796481,-3.95559440607861,-5.17703916289265,-5.12382166107443,-4.10798546241312,-1.95729810149645,-2.95373307951379,-1.29319933432343,-1.02292527090455,-1.14668842720592,-1.92805511011961,-0.2424258802303,2.46295399725311,-1.40733151597008,-3.01695812097455
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Saudi Arabia,SAU,0.254139370017326,7.55444517963192,5.07959825292595,6.26198449830693,12.9967338901391,20.0686090959604,27.397650295001,26.2494041755594,22.4368749255735,25.4565298531126,4.88341028202236,12.6372717985377,23.4314388285671,22.209834088594,17.9664105623764,9.62139735963754,-8.47275770364983,-3.57999356490764,1.46354818245906,8.50144572727181,4.55896513493438,-3.10706029794965,5.10295167186642,13.6040472962453
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Singapore,SGP,17.2038768568059,11.0715053334975,14.4329262531886,14.8770565262969,24.3020869643935,19.3111251690814,23.2604842917785,26.8933869921425,27.1433265272595,15.0834338413735,16.3930600631386,22.9333528248355,22.2184496648669,17.6432767805451,15.707187590209,17.9502135491877,18.6930222903094,17.7724480306166,18.1378090732291,15.7165300054649,16.154657184097,16.4514349336955,18.0214175741994,19.3319574146859
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,-0.445657432102413,-0.125570465684738,0.253001079897654,0.781937439973031,-0.782450009506832,-2.50726101296645,-2.77477604440328,-4.00012437440147,-4.86189160706926,-5.1861812939348,-2.38458191814824,-1.29901804926325,-2.01967632193946,-4.68373643403848,-5.33837274756912,-4.81243259488483,-4.31028688643788,-2.63361451678798,-2.37436753188649,-3.00869958461686,-2.62537727747553,1.98489101266081,3.69925596749038,-0.418255956934147
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Spain,ESP,-3.25394601741868,-4.33318506474451,-4.38900285123863,-3.7039065701461,-3.86823246446474,-5.48867833924552,-7.27349568565715,-8.84897060185035,-9.44961885199637,-8.92939365399775,-4.05095726023528,-3.6740907171544,-2.69973299934846,0.0554935024043173,2.03514463921476,1.6519899690123,2.01542752807183,3.18580462347612,2.80662885323038,1.8626648318715,2.09759572078518,0.629975824649831,0.941944557799609,0.504439588434975
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Sweden,SWE,3.93249277608895,4.44723025271612,6.17419292700051,4.66652075313434,5.85395926825313,5.94681383212417,6.0128032965243,8.14691292492638,8.12765982945405,7.88148466970632,5.93724275760804,5.88848031612691,5.47615820395927,5.50556204200994,5.23206210809343,4.20942716179907,3.19907455423356,2.19856084130717,2.77764886109438,2.46545914026436,5.33992472610685,5.91441806469003,6.82657116189663,4.6855818391581
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Switzerland,CHE,9.49477188282003,10.4899126454199,6.66593441613666,6.8724559921272,10.7914279174848,12.4877045205757,11.3634345831973,12.4843731667523,8.32016970609657,1.32642955584366,5.8501748132964,13.0332803465038,6.21119893660374,8.8773281834645,9.60676890706284,6.86697602914757,8.87897961536886,7.27641251378068,5.34410987370175,5.04996129219345,4.27046352284521,0.3036944191373,8.81224610249959,10.0852720917844
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Thailand,THA,9.81128056902142,7.36845246383927,4.24027233043999,3.46550519506602,3.13356397636706,1.59597338666445,-4.03646433614019,1.04380762977679,5.92665416106072,0.319466148025871,7.87655953090213,3.36732467219253,2.54217099107423,-1.23233636636103,-2.10153456662363,2.85828412803433,6.91581510437454,10.5083544924478,9.63103020790703,5.61986310131392,7.0327263535744,4.18286737008913,-2.10576822572052,-3.50625046853655
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Turkiye,TUR,-0.360770081668399,-3.61654630788993,1.86366395955392,-0.260562993305162,-2.40117843944292,-3.47253679096514,-4.14366814942972,-5.59367127491497,-5.42269951690352,-5.11714392506376,-1.74960497961629,-5.7428402636621,-8.87020564291784,-5.36910823216061,-5.75193752689653,-4.04927104410675,-3.08047783760678,-3.06640481720001,-4.65140061117162,-2.5885167321425,1.42064818427643,-4.42711305233217,-0.882990904363807,-5.3809773932268
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,United Kingdom,GBR,-2.11353382046635,-1.84712992495041,-1.80557968729276,-2.03639086013187,-1.88403606478649,-2.36203193542683,-2.03429445027245,-3.16442995319484,-3.78605086652334,-3.98779625784346,-3.11861118658755,-2.89480115198539,-1.80390247672811,-3.29026332235825,-4.78270084190495,-5.13811212438362,-5.0669574666325,-5.54046933639408,-3.61020468141963,-4.06481853736583,-2.82733707277608,-3.2468314878951,-1.50692756573464,-3.95296095188715
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,United States,USA,-2.97598180084223,-3.92088614748242,-3.72407498836611,-4.17333961025019,-4.55898086099347,-5.20485343641858,-5.74598170416952,-5.91101922107059,-5.08872774231253,-4.71586121002055,-2.62283669627863,-2.87064270506825,-2.91862137859132,-2.57236812074952,-2.01538414033942,-2.10805505161045,-2.2434721228246,-2.11937229657855,-1.88739358215214,-2.14216028970484,-2.06607966606092,-2.83538257957979,-3.56615967017701,-3.81575402451429
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,11.6664565462153,17.4742424828314,10.4545347443772,7.9523289090993,7.69799200492828,9.908322542702,11.0454168411951,9.3254450282857,5.55457627319938,6.25797161157479,4.12086938066756,4.42333670279649,4.75452658544662,3.22793093736969,1.4581738683551,2.79290980226133,4.9708885826342,1.91643731974009,2.0441267426453,6.9798987664776,3.8761247896886,2.36911534752463,6.64784783088584,10.5371690605127
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,31.0675119241216,33.1847245628586,30.4240457483909,23.9592611415734,8.50181028353526,-5.45006694867961,3.98856887721847,9.08293669883969,2.41529709782418,-2.06750647355624,14.648069300275,26.5988344272099
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Philippines,PHL,-3.35706945634405,-2.66284885676653,-2.21740069327136,-0.334490423354779,0.327439075952974,1.71049030095856,1.85290757932988,5.454522525746,5.1749733746147,0.0792959458378819,4.80078354266751,3.44540919098216,2.40919069489442,2.65327820420381,4.0096495676951,3.61563915835882,2.37094985654127,-0.376262660444409,-0.652387926752736,-2.5593930608875,-0.80855785709315,3.20065009249545,-1.50797765146247,-4.4107634482073
